date,open,high,low,close,volume,dividends,stock splits
1986-03-13 00:00:00-05:00,0.0540864276888447,0.062040385862527817,0.0540864276888447,0.0593886598944664,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.059388653247601744,0.06257060208009697,0.059388653247601744,0.061509545892477036,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.06150953087206151,0.06310080983231543,0.06150953087206151,0.06257058680057526,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06257055504826034,0.06310077781093147,0.06044905413285194,0.06097927689552307,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.0609793041095052,0.06150952710880545,0.05938863511160445,0.059918858110904694,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.059918846468748795,0.059918846468748795,0.05779795488363434,0.05832817777991295,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.058328177300555374,0.05938862308439755,0.05567706284094991,0.0567375086247921,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.05673753879355554,0.05673753879355554,0.05461664609813967,0.05514686927199364,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.05514686050396041,0.05620730668306351,0.05461663741440886,0.05620730668306351,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.05620728483605911,0.058328176369903714,0.05567706195259795,0.057797953486442566,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.05779795625565304,0.05885840207338333,0.05779795625565304,0.05885840207338333,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.058858400676191566,0.058858400676191566,0.05726773198735573,0.05832817777991295,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.058328176369903714,0.058328176369903714,0.057797953486442566,0.057797953486442566,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.05779795488363434,0.05938862357247018,0.05779795488363434,0.05832817777991295,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.05885840207338333,0.060449070799978764,0.05885840207338333,0.05885840207338333,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.05885840207338333,0.05938862498224847,0.05885840207338333,0.05885840207338333,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.05885839925336487,0.05938862213682602,0.056737507719520255,0.057797953486442566,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.05779795488363434,0.05938862357247018,0.05779795488363434,0.05832817777991295,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.05832821345334206,0.059918883115028576,0.05832821345334206,0.0593886598944664,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.05938863511160445,0.06044908111020495,0.05832818911300395,0.059918858110904694,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.06044905413285194,0.062040332285589216,0.06044905413285194,0.06097927689552307,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.06097932273125821,0.062040378918878154,0.06097932273125821,0.061509545892477036,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.06150954589247703,0.06150954589247703,0.059388653247601744,0.061509545892477036,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.06150952610921486,0.06416125092761903,0.06097930311853126,0.06363102793693542,31910400,0.0,0.0
1986-04-17 00:00:00-05:00,0.06363105509048986,0.0641612783074379,0.06363105509048986,0.0641612783074379,22003200,0.0,0.0
1986-04-18 00:00:00-05:00,0.06416123532772307,0.06416123532772307,0.06150951115404808,0.06204034388065338,21628800,0.0,0.0
