date,open,high,low,close,volume,dividends,stock splits
2004-08-19 00:00:00-04:00,2.48373665849628,2.5845758758698962,2.383392945764689,2.492180824279785,893181924,0.0,0.0
2004-08-20 00:00:00-04:00,2.508822176838228,2.709259725371138,2.4961548630046986,2.690134286880493,456686856,0.0,0.0
2004-08-23 00:00:00-04:00,2.750738233475586,2.818543803647125,2.708514331099461,2.717207431793213,365122512,0.0,0.0
2004-08-24 00:00:00-04:00,2.7629082304989256,2.7718497936549373,2.5724056328047977,2.604693651199341,304946748,0.0,0.0
2004-08-25 00:00:00-04:00,2.6069294492649737,2.6824349729969517,2.580105236780774,2.6327602863311768,183772044,0.0,0.0
2004-08-26 00:00:00-04:00,2.60668036899786,2.6811925199357978,2.599477805387151,2.680198907852173,141897960,0.0,0.0
2004-08-27 00:00:00-04:00,2.6849181856956164,2.6978337225959135,2.6250605725477185,2.6364850997924805,124235640,0.0,0.0
2004-08-30 00:00:00-04:00,2.614877975060048,2.6200935520992212,2.5336596965789795,2.5336596965789795,103935960,0.0,0.0
2004-08-31 00:00:00-04:00,2.540861631416068,2.575882018334557,2.5373848175495217,2.542600393295288,98357544,0.0,0.0
2004-09-01 00:00:00-04:00,2.5507971250653956,2.557503475252065,2.4755398125387496,2.489945888519287,182765052,0.0,0.0
2004-09-02 00:00:00-04:00,2.463617593692112,2.5426006469681823,2.4574084053057876,2.521240234375,302373324,0.0,0.0
2004-09-03 00:00:00-04:00,2.507331399830005,2.526953050986558,2.466846259800643,2.4839847087860107,103048848,0.0,0.0
2004-09-07 00:00:00-04:00,2.508821882108756,2.533411120229148,2.4740497169137177,2.5229790210723877,116950932,0.0,0.0
2004-09-08 00:00:00-04:00,2.5021159384850895,2.558993202385704,2.496154974630751,2.5408623218536377,99712188,0.0,0.0
2004-09-09 00:00:00-04:00,2.54657478745778,2.5510449774508652,2.5085740314798244,2.541110038757324,81234684,0.0,0.0
2004-09-10 00:00:00-04:00,2.5234763467210923,2.646669587766678,2.5160246102065797,2.616119384765625,173977848,0.0,0.0
2004-09-13 00:00:00-04:00,2.6484076487722934,2.6926187812356024,2.644185683918569,2.6700165271759033,156882960,0.0,0.0
2004-09-14 00:00:00-04:00,2.6687745949896304,2.781784668121256,2.6523812957593176,2.7691173553466797,216579204,0.0,0.0
2004-09-15 00:00:00-04:00,2.7460187576362287,2.837171961726561,2.737077195116372,2.7817845344543457,214261524,0.0,0.0
2004-09-16 00:00:00-04:00,2.790228611624603,2.8761662367702,2.7730911103141507,2.8307137489318848,185326488,0.0,0.0
2004-09-17 00:00:00-04:00,2.841890679942553,2.9181416034698486,2.820282986106447,2.9181416034698486,189450360,0.0,0.0
2004-09-20 00:00:00-04:00,2.904729361700266,3.0202226243882913,2.900258225769054,2.9645872116088867,212575212,0.0,0.0
2004-09-21 00:00:00-04:00,2.9757641283823455,2.990915590149016,2.9186386452023436,2.92683482170105,144575280,0.0,0.0
2004-09-22 00:00:00-04:00,2.9159062762743235,2.9722873194728017,2.901251975517025,2.940246343612671,151624224,0.0,0.0
2004-09-23 00:00:00-04:00,2.951671727254667,3.04580552695513,2.906467228884901,3.000850200653076,170713116,0.0,0.0
2004-09-24 00:00:00-04:00,3.0038307401920843,3.0823168699369887,2.974522376844617,2.9762611389160156,182469348,0.0,0.0
2004-09-27 00:00:00-04:00,2.969555077616707,3.0023402583964685,2.9258413454899053,2.9372661113739014,141322536,0.0,0.0
2004-09-28 00:00:00-04:00,3.0127721839772974,3.1642794524540827,2.985698798258223,3.1508677005767822,338581080,0.0,0.0
2004-09-29 00:00:00-04:00,3.146893878214167,3.3535405937283445,3.135220177881103,3.255681037902832,610329060,0.0,0.0
2004-09-30 00:00:00-04:00,3.226373636481643,3.2859832706183245,3.204019609576701,3.2189218997955322,275160564,0.0,0.0
2004-10-01 00:00:00-04:00,3.2487266256523477,3.3341670988494236,3.2015360807227546,3.2929375171661377,302497200,0.0,0.0
2004-10-04 00:00:00-04:00,3.359253272545343,3.3994892393206344,3.3289512973200877,3.3545339107513428,260455284,0.0,0.0
2004-10-05 00:00:00-04:00,3.3445990627201807,3.4407198573703504,3.2844922716587877,3.4367458820343018,299464236,0.0,0.0
2004-10-06 00:00:00-04:00,3.4163789851631123,3.43873301145352,3.377880831298679,3.404705047607422,267628104,0.0,0.0
2004-10-07 00:00:00-04:00,3.4007308891470958,3.474250378461884,3.391541337507568,3.4486677646636963,282301416,0.0,0.0
