,Strategy,Benchmark
2016-07-20 00:00:00+00:00,0.0,0.0041542830671826465
2016-07-20 04:00:00+00:00,0.003044599860701183,0.0
2016-07-21 00:00:00+00:00,0.003655377006062389,-0.0037841160823778833
2016-07-21 04:00:00+00:00,-0.00011619010936276552,0.0
2016-07-22 00:00:00+00:00,0.004006774964750098,0.004475313954777067
2016-07-22 04:00:00+00:00,0.0008057197408613866,0.0
2016-07-25 00:00:00+00:00,-0.00233611962807431,-0.002719712044900545
2016-07-25 04:00:00+00:00,0.00016528007451891636,0.0
2016-07-26 00:00:00+00:00,-0.0012158318493628564,0.0004613761977276934
2016-07-26 04:00:00+00:00,3.066942625479801e-05,0.0
2016-07-27 00:00:00+00:00,0.0025971437932704147,-0.0010615412755313677
2016-07-27 04:00:00+00:00,-0.0005897374233286457,0.0
2016-07-28 00:00:00+00:00,0.0003473125804446882,0.0011536923357631785
2016-07-28 04:00:00+00:00,2.1793065417927663e-05,0.0
2016-07-29 00:00:00+00:00,0.005971882274934613,0.0016135273323705226
2016-07-29 04:00:00+00:00,0.0004897514446008184,0.0
2016-08-01 00:00:00+00:00,-0.0029368810896007653,-0.0008294771498074654
2016-08-01 04:00:00+00:00,-0.00010276378215907609,0.0
2016-08-02 00:00:00+00:00,-0.005052983620622001,-0.0064278067859752696
2016-08-02 04:00:00+00:00,-9.497240902539998e-07,0.0
2016-08-03 00:00:00+00:00,-0.0015453258748344657,0.0029183860039357157
2016-08-03 04:00:00+00:00,0.00040487668528806683,0.0
2016-08-04 00:00:00+00:00,0.0021581704983503927,0.0010635394504636118
2016-08-04 04:00:00+00:00,0.0005115075817407451,0.0
2016-08-05 00:00:00+00:00,-0.0046772515721472206,0.008145624036558682
2016-08-05 04:00:00+00:00,0.0010501897948535673,0.0
2016-08-08 00:00:00+00:00,-0.00012905137380668229,-0.0005960368140949736
2016-08-08 04:00:00+00:00,0.0004816872245007385,0.0
2016-08-09 00:00:00+00:00,0.003020853084937493,0.0005960368140949798
2016-08-09 04:00:00+00:00,0.00027581019407808566,0.0
2016-08-10 00:00:00+00:00,0.0009089567639519389,-0.0024783016260791794
2016-08-10 04:00:00+00:00,-0.000474930381362909,0.0
2016-08-11 00:00:00+00:00,-0.001302328612541222,0.004630012845745686
2016-08-11 04:00:00+00:00,8.613107704957511e-05,0.0
2016-08-12 00:00:00+00:00,0.0008669588968256347,-0.000869264181317731
2016-08-12 04:00:00+00:00,-3.21406876563929e-05,0.0
2016-08-15 00:00:00+00:00,-0.001463194722119984,0.00287948627895397
2016-08-15 04:00:00+00:00,0.0007129116468408173,0.0
2016-08-16 00:00:00+00:00,-0.002577195238151906,-0.00517064942010448
2016-08-16 04:00:00+00:00,-0.00018777528774026976,0.0
