,SPY,AAPL,MSFT,GLD,TLT,XLU
2016-07-20 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-20 04:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-21 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-21 04:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-22 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-22 04:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-25 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-25 04:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-26 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-26 04:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-27 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-27 04:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-28 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-28 04:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-29 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-07-29 04:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-08-01 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-08-01 04:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-08-02 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-08-02 04:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-08-03 00:00:00+00:00,0.22350163554098118,6.36749979995892e-05,0.05882653140167351,0.14988815162300081,0.2924892161001944,0.27523079033615044
2016-08-03 04:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-04 00:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-04 04:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-05 00:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-05 04:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-08 00:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-08 04:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-09 00:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-09 04:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-10 00:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-10 04:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-11 00:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-11 04:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-12 00:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-12 04:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
2016-08-15 00:00:00+00:00,0.38767928606460145,0.053175375605452824,0.025054334032318635,0.24093663765341214,0.18692618039781372,0.10622818624640128
