,prob_low_vol
2016-07-20 00:00:00+00:00,0.9979026470767599
2016-07-20 04:00:00+00:00,0.9979026470767599
2016-07-21 00:00:00+00:00,0.9979026470767599
2016-07-21 04:00:00+00:00,0.9979026470767599
2016-07-22 00:00:00+00:00,0.9979026470767599
2016-07-22 04:00:00+00:00,0.9979026470767599
2016-07-25 00:00:00+00:00,0.9979026470767599
2016-07-25 04:00:00+00:00,0.9979026470767599
2016-07-26 00:00:00+00:00,0.9979026470767599
2016-07-26 04:00:00+00:00,0.9979026470767599
2016-07-27 00:00:00+00:00,0.9979026470767599
2016-07-27 04:00:00+00:00,0.9979026470767599
2016-07-28 00:00:00+00:00,0.9979026470767599
2016-07-28 04:00:00+00:00,0.9979026470767599
2016-07-29 00:00:00+00:00,0.9979026470767599
2016-07-29 04:00:00+00:00,0.9979026470767599
2016-08-01 00:00:00+00:00,0.9979026470767599
2016-08-01 04:00:00+00:00,0.9979026470767599
2016-08-02 00:00:00+00:00,0.9979026470767599
2016-08-02 04:00:00+00:00,0.9979026470767599
2016-08-03 00:00:00+00:00,0.9979026470767599
2016-08-03 04:00:00+00:00,0.8553698879994269
2016-08-04 00:00:00+00:00,0.8553698879994269
2016-08-04 04:00:00+00:00,0.8553698879994269
2016-08-05 00:00:00+00:00,0.8553698879994269
2016-08-05 04:00:00+00:00,0.8553698879994269
2016-08-08 00:00:00+00:00,0.8553698879994269
2016-08-08 04:00:00+00:00,0.8553698879994269
2016-08-09 00:00:00+00:00,0.8553698879994269
2016-08-09 04:00:00+00:00,0.8553698879994269
2016-08-10 00:00:00+00:00,0.8553698879994269
2016-08-10 04:00:00+00:00,0.8553698879994269
2016-08-11 00:00:00+00:00,0.8553698879994269
2016-08-11 04:00:00+00:00,0.8553698879994269
2016-08-12 00:00:00+00:00,0.8553698879994269
2016-08-12 04:00:00+00:00,0.8553698879994269
2016-08-15 00:00:00+00:00,0.8553698879994269
2016-08-15 04:00:00+00:00,0.8553698879994269
2016-08-16 00:00:00+00:00,0.8553698879994269
